,trip_id,arrival_time,departure_time,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
144455,2961157_3041,03:43:00,03:43:00,1,20 ABIA Airport SB,1,20,1,1,30.313865,-97.664697,7000 Manor/Susquehanna,False
144456,2961157_3041,03:44:13,03:44:13,2,20 ABIA Airport SB,1,20,1,1,30.310003,-97.667482,6650 Manor/Loyola,False
144457,2961157_3041,03:45:12,03:45:12,3,20 ABIA Airport SB,1,20,1,1,30.3085,-97.671213,University Hills SB (Manor/Northeast),False
144458,2961157_3041,03:46:50,03:46:50,4,20 ABIA Airport SB,1,20,1,1,30.307941,-97.678194,6102 Manor/Wheless,False
144459,2961157_3041,03:47:27,03:47:27,5,20 ABIA Airport SB,1,20,1,1,30.30659,-97.680101,5900 Manor/Sweeney,False
144460,2961157_3041,03:48:03,03:48:03,6,20 ABIA Airport SB,1,20,1,1,30.304383,-97.681613,Manor at Rogge SB (Manor/Rogge),False
144461,2961157_3041,03:49:21,03:49:21,7,20 ABIA Airport SB,1,20,1,1,30.30115,-97.685058,Manor/Wellington,False
144462,2961157_3041,03:50:14,03:50:14,8,20 ABIA Airport SB,1,20,1,1,30.298358,-97.687017,51st/Manor SB (Manor/51st),False
144463,2961157_3041,03:51:10,03:51:10,9,20 ABIA Airport SB,1,20,1,1,30.295369,-97.689006,4800 Manor/Creekwood,False
144464,2961157_3041,03:52:02,03:52:02,10,20 ABIA Airport SB,1,20,1,1,30.29216,-97.689382,4500 Manor/Lovell,False
144465,2961157_3041,03:53:51,03:53:51,11,20 ABIA Airport SB,1,20,1,1,30.290265,-97.695112,3722 Manor/Tilley,False
144466,2961157_3041,03:54:38,03:54:38,12,20 ABIA Airport SB,1,20,1,1,30.28934,-97.698275,3600 Manor/Pershing,False
144467,2961157_3041,03:55:26,03:55:26,13,20 ABIA Airport SB,1,20,1,1,30.287728,-97.701113,Manor/Anchor,False
144468,2961157_3041,03:56:01,03:56:01,14,20 ABIA Airport SB,1,20,1,1,30.286885,-97.703204,Manor/Tillery,False
144470,2961157_3041,03:58:00,03:58:00,16,20 ABIA Airport SB,1,20,1,1,30.285663,-97.710921,Alexander SB (Manor/Alexander),False
144471,2961157_3041,03:59:01,03:59:01,17,20 ABIA Airport SB,1,20,1,1,30.285124,-97.714409,Manor/Walnut,False
144472,2961157_3041,04:00:15,04:00:15,18,20 ABIA Airport SB,1,20,1,1,30.284554,-97.717984,Cherrywood SB (Manor/Cherrywood),False
144473,2961157_3041,04:01:42,04:01:42,19,20 ABIA Airport SB,1,20,1,1,30.284787,-97.721969,Dean Keeton/Dancy NE Corner,False
144474,2961157_3041,04:03:42,04:03:42,20,20 ABIA Airport SB,1,20,1,1,30.287579,-97.727345,920 Dean Keeton/Red River,False
144475,2961157_3041,04:04:29,04:04:29,21,20 ABIA Airport SB,1,20,1,1,30.288847,-97.729473,East Dean Keeton SB (Dean Keeton/Medical Arts),False
144476,2961157_3041,04:06:48,04:06:48,22,20 ABIA Airport SB,1,20,1,1,30.289536,-97.737134,Dean Keeton/Speedway NE Corner,False
144478,2961157_3041,04:09:51,04:09:51,24,20 ABIA Airport SB,1,20,1,1,30.286231,-97.741771,UT West Mall Station (SB),False
144479,2961157_3041,04:10:50,04:10:50,25,20 ABIA Airport SB,1,20,1,1,30.283384,-97.742081,Guadalupe/W. 21st Street,False
58666,2959807_0785,04:14:00,04:14:00,1,10 Southpark Meadows SB,0,10,1,1,30.340202,-97.691345,Norwood Transit Center - A,False
144481,2961157_3041,04:14:00,04:14:00,27,20 ABIA Airport SB,1,20,1,1,30.275022,-97.744169,Capitol Station (SB),False
58667,2959807_0785,04:15:31,04:15:31,2,10 Southpark Meadows SB,0,10,1,1,30.340454,-97.690058,1113 Rutherford/Furness,False
58668,2959807_0785,04:17:42,04:17:42,3,10 Southpark Meadows SB,0,10,1,1,30.33771,-97.68437,8100 Cameron Road,False
58669,2959807_0785,04:18:53,04:18:53,4,10 Southpark Meadows SB,0,10,1,1,30.33555,-97.68456,8004 Cameron/Rutherford,False
